,ProductName,ProductMRP,DiscountedPrice,BrandId,Avalable_stock
0,SBL Thuja Occidentalis 200 CH (30ml),100,95,3,139
1,SBL Nux Vomica 30 CH (30ml),90,86,3,16
2,SBL Carbo Vegetabilis 30 CH (30ml),90,83,3,18
3,SBL Lycopodium Clavatum 30 CH (30ml),90,86,3,27
4,SBL Rhus Toxicodendron 200 CH (30ml),100,92,3,12
5,SBL Arsenic Album 30 CH (30ml),85,77,3,17
6,SBL Nux Vomica 200 CH (30ml),100,97,3,37
7,SBL Lycopodium Clavatum 200 CH (30ml),95,87,3,14
8,SBL Arnica Montana 200 CH (30ml),100,97,3,12
9,SBL Aconite Napellus 30 CH (30ml),90,86,3,21
10,SBL Aconite Napellus 200 CH (30ml),100,95,3,29
11,Willmar Schwabe India Nux Vomica 30 CH (30ml),90,88,2,10
12,SBL Rhus Toxicodendron 30 CH (30ml),85,78,3,8
13,Willmar Schwabe India Cydonia Vulgaris 30 CH (30ml),90,90,2,95
14,SBL Wiesbaden 30 CH (30ml),90,86,3,20
15,SBL Cinchona Officinalis (China) 30 CH (30ml),85,78,3,11
16,SBL Belladonna 200 CH (30ml),95,87,3,12
17,Dr. Reckeweg Arsenic Album 30 CH (11ml),125,125,1,193
18,SBL Sulphur 30 CH (30ml),85,78,3,12
19,Dr. Reckeweg Wiesbaden 30 CH (11ml),125,125,1,18
20,SBL Sepia 200 CH (30ml),95,87,3,16
21,SBL Carbo Vegetabilis 200 CH (30ml),100,95,3,54
22,SBL Histaminum 200 CH (30ml),100,95,3,38
23,SBL Thuja Occidentalis 30 CH (30ml),85,78,3,15
24,SBL Bryonia Alba 200 CH (30ml),100,92,3,8
25,SBL Hepar Sulphur 200 CH (30ml),95,87,3,10
26,SBL Caladium Seguinum 30 CH (30ml),85,81,3,7
27,SBL Arnica Montana 30 CH (30ml),90,86,3,21
28,SBL Bryonia Alba 30 CH (30ml),90,86,3,64
29,Willmar Schwabe India Caladium Seguinum 200 CH (30ml),105,105,2,28
30,SBL Calcarea Carbonicum 30 CH (30ml),85,81,3,7
31,SBL Belladonna 30 CH (30ml),90,86,3,23
32,SBL Natrum Muriaticum 30 CH (30ml),85,78,3,9
33,SBL Hepar Sulphur 30 CH (30ml),85,78,3,13
34,Dr. Reckeweg Thuja Occidentalis 200 CH (11ml),145,145,1,23
35,SBL Thuja Occidentalis 1M (1000 CH) (30ml),120,108,3,10
36,Dr. Reckeweg Arnica Montana 200 CH (11ml),145,145,1,16
37,SBL Silicea 200 CH (30ml),95,87,3,12
38,Dr. Reckeweg Nux Vomica 30 CH (11ml),125,125,1,32
39,Dr. Reckeweg Nux Vomica 200 CH (11ml),145,145,1,8
40,SBL Allium Cepa 30 CH (30ml),90,83,3,8
41,SBL Calcarea Carbonicum 200 CH (30ml),100,91,3,10
42,SBL Arsenic Album 200 CH (30ml),100,92,3,10
43,SBL Apis Mellifica 30 CH (30ml),90,86,3,76
44,SBL Pulsatilla Nigricans 200 CH (30ml),95,87,3,14
45,Dr. Reckeweg Lycopodium Clavatum 30 CH (11ml),125,125,1,162
46,SBL Robinia Pseudacacia 30 CH (30ml),90,86,3,14
47,Willmar Schwabe India Thuja occidentalis 200 CH (30ml),105,103,2,12
48,SBL Agnus Castus 30 CH (30ml),90,86,3,87
49,SBL Onosmodium Virginianum 30 CH (30ml),90,86,3,16
50,SBL Sulphur 200 CH (30ml),89,85,3,50
51,SBL Causticum 200 CH (30ml),95,87,3,10
52,SBL Wiesbaden 200 CH (30ml),95,87,3,25
53,Dr. Reckeweg Belladonna 30 CH (11ml),125,125,1,24
54,Willmar Schwabe India Lycopodium Clavatum 30 CH (30ml),90,88,2,15
55,Dr. Reckeweg Sulphur 200 CH (11ml),145,145,1,12
56,Willmar Schwabe India Baryta Carbonicum 200 CH (30ml),105,105,2,14
57,SBL Acid Nitricum 30 CH (30ml),85,81,3,12
58,Dr. Reckeweg Rhododendron Chrysanthum 30 CH (11ml),125,125,1,9
59,SBL Mercurius Solubilis 30 CH (30ml),85,81,3,26
60,Willmar Schwabe India Histaminum Hydrochloricum 30 CH (30ml),90,90,2,23
61,SBL Kali Bichromicum 30 CH (30ml),90,83,3,13
62,SBL Alumina 200 CH (30ml),100,95,3,87
63,Willmar Schwabe India Carbo Vegetabilis 30 CH (30ml),90,90,2,23
64,Dr. Reckeweg Carbo Vegetabilis 30 CH (11ml),125,125,1,11
65,Willmar Schwabe India Caladium Seguinum 30 CH (30ml),90,90,2,34
66,Willmar Schwabe India Caladium Seguinum 1M (1000 CH) (30ml),120,120,2,12
67,Willmar Schwabe India Cina 30 CH (30ml),90,90,2,0
68,SBL Staphysagria 30 CH (30ml),85,81,3,20
69,SBL Trinitrotoluene (tnt) 30 CH (30ml),90,86,3,8
70,SBL Acid Hydrofluoricum 30 CH (30ml),85,72,3,18
71,SBL Kali Bichromicum 200 CH (30ml),100,95,3,88
72,SBL Carbo Vegetabilis 6 CH (30ml),90,86,3,69
73,SBL Histaminum 30 CH (30ml),90,86,3,95
74,SBL Cinchona Officinalis (China) 200 CH (30ml),95,90,3,11
75,Willmar Schwabe India Bryonia Alba 30 CH (30ml),90,90,2,9
76,Dr. Reckeweg Aesculus Hippocastanum 30 CH (11ml),125,125,1,29
77,SBL Clematis Erecta 30 CH (30ml),90,86,3,78
78,SBL Pulsatilla Nigricans 30 CH (30ml),85,78,3,14
79,SBL Petroleum 200 CH (30ml),100,95,3,6
80,Willmar Schwabe India Lycopodium Clavatum 200 CH (30ml),105,105,2,19
81,SBL Cantharis 30 CH (30ml),85,81,3,15
82,SBL Rosmarinus Officinalis 30 CH (30ml),90,86,3,85
83,SBL Sulphur 6 CH (30ml),90,86,3,67
84,SBL Phosphorus 200 CH (30ml),100,95,3,17
85,SBL Osteo Arthritic Nosode 30 CH (30ml),85,81,3,8
86,SBL Graphites 30 CH (30ml),85,81,3,18
87,SBL Antimonium Crudum 6 CH (30ml),90,86,3,68
88,SBL Natrum Muriaticum 200 CH (30ml),95,87,3,17
89,Dr. Reckeweg Bryonia Alba 200 CH (11ml),145,145,1,42
90,Dr. Reckeweg Acid Fluoricum 30 CH (11ml),125,125,1,9
91,SBL Aesculus Hippocastanum 200 CH (30ml),100,95,3,12
92,Dr. Reckeweg Rhus Toxicodendron 30 CH (11ml),125,125,1,13
93,SBL Pancreatinum 30 CH (30ml),90,86,3,60
94,SBL Arnica Montana 6 CH (30ml),90,86,3,72
95,SBL Ruta Graveolens 30 CH (30ml),85,81,3,11
96,Willmar Schwabe India Aconite Napellus 30 CH (30ml),90,90,2,9
97,SBL Sarracenia Purpurea 1M (1000 CH) (30ml),135,128,3,75
98,Willmar Schwabe India Apis Mellifica 6 CH (30ml),90,90,2,27
99,Dr. Reckeweg Hepar Sulphur 200 CH (11ml),145,145,1,13
100,SBL Aloe Socotrina 30 CH (30ml),90,86,3,80
101,SBL Robinia Pseudacacia 6 CH (30ml),90,86,3,25
102,SBL Ledum Palustre 200 CH (30ml),100,95,3,26
103,SBL Gelsemium Sempervirens 200 CH (30ml),100,92,3,13
104,Willmar Schwabe India Agnus Castus 30 CH (30ml),90,88,2,8
105,SBL Ruta Graveolens 200 CH (30ml),100,95,3,7
106,Dr. Reckeweg Lycopodium Clavatum 1M (1000 CH) (11ml),180,180,1,126
107,SBL Magnesia Phosphoricum 6 CH (30ml),90,86,3,81
108,Dr. Reckeweg Acid Phosphoricum 30 CH (11ml),125,125,1,143
109,Willmar Schwabe India Nux Vomica 1M (1000 CH) (30ml),120,120,2,23
110,SBL Calcarea Fluoricum 30 CH (30ml),90,86,3,70
111,SBL Arsenic Sulphuratum Flavum 30 CH (30ml),90,86,3,27
112,SBL Mercurius Solubilis 200 CH (30ml),100,92,3,22
113,SBL Asafoetida 30 CH (30ml),90,86,3,71
114,Willmar Schwabe India Carbo Animalis 200 CH (30ml),105,105,2,25
115,Willmar Schwabe India Arnica Montana 200 CH (30ml),105,103,2,7
116,Dr. Reckeweg Carbo Vegetabilis 200 CH (11ml),145,145,1,49
117,SBL Allium Cepa 200 CH (30ml),95,90,3,14
118,SBL Antimonium Crudum 30 CH (30ml),85,81,3,6
119,Dr. Reckeweg Calcarea Carbonicum 200 CH (11ml),145,145,1,88
120,Willmar Schwabe India Bryonia Alba 200 CH (30ml),105,105,2,16
121,Willmar Schwabe India Thuja occidentalis 30 CH (30ml),90,90,2,42
122,Willmar Schwabe India Conium Maculatum 30 CH (30ml),90,90,2,5
123,SBL Amyl Nitrosum 1M (1000 CH) (30ml),135,128,3,75
124,SBL Acid Phosphoricum 30 CH (30ml),85,78,3,11
125,SBL Tellurium 30 CH (30ml),90,86,3,95
126,SBL Astacus Fluviatilis 6 CH (30ml),85,72,3,6
127,SBL Ignatia Amara 30 CH (30ml),90,86,3,6
128,SBL Silicea 30 CH (30ml),85,81,3,27
129,SBL Caladium Seguinum 200 CH (30ml),100,95,3,76
130,Willmar Schwabe India Sulphur 30 CH (30ml),90,90,2,9
131,Willmar Schwabe India Thuja occidentalis 1M (1000 CH) (30ml),120,120,2,8
132,SBL Gelsemium Sempervirens 30 CH (30ml),90,83,3,17
133,Dr. Reckeweg Calcarea Fluoricum 200 CH (11ml),145,145,1,4
134,Willmar Schwabe India Graphites 30 CH (30ml),90,90,2,8
135,SBL Arsenic Album 3 CH (30ml),90,86,3,37
136,SBL Prednisone 200 CH (30ml),100,95,3,78
137,Willmar Schwabe India Natrum muriaticum 30 CH (30ml),90,88,2,9
138,SBL Argentum Nitricum 30 CH (30ml),90,86,3,66
139,Dr. Reckeweg Eupatorium Perfoliatum 30 CH (11ml),125,125,1,11
140,Dr. Reckeweg Sepia 200 CH (11ml),145,145,1,118
141,SBL Ignatia Amara 200 CH (30ml),100,95,3,61
142,SBL Antimonium Tartaricum 200 CH (30ml),100,95,3,40
143,SBL Folliculinum 30 CH (30ml),85,81,3,10
144,SBL Acid Phosphoricum 1M (1000 CH) (30ml),135,128,3,32
145,SBL Sabal Serrulata 30 CH (30ml),90,86,3,62
146,SBL Insulinum 30 CH (30ml),90,86,3,20
147,SBL Selenium 200 CH (30ml),95,90,3,9
148,SBL Thiosinaminum 1M (1000 CH) (30ml),135,128,3,42
149,Willmar Schwabe India Oophorinum 30 CH (30ml),90,90,2,47
150,Willmar Schwabe India Histaminum Hydrochloricum 200 CH (30ml),105,105,2,500
151,Dr. Reckeweg Sepia 30 CH (11ml),125,125,1,12
152,SBL Osteo Arthritic Nosode 200 CH (30ml),100,95,3,33
153,Dr. Reckeweg Lycopodium Clavatum 200 CH (11ml),145,145,1,9
