,Treatement_centre,Address,PhoneNo,Intake,City,State,Pincode
0,Henry County Day Treatment ,403 Dothan Road , (800) 951-4357 , (334) 951-4357 ,Abbeville,Alabama,36310
1,SpectraCare Henry County Clinic ,219 Dothan Road , (334) 585-5331 , (800) 951-4357 ,Abbeville,Alabama,36310
2,South Central Alabama CMHC ,19815 Bay Branch Road , (334) 222-2523 , (877) 530-0002 ,Andalusia,Alabama,36420
3,South Central Alabama MH Center Montezuma Complex ,205 Academy Drive , (334) 428-5050 ,NA,Andalusia,Alabama,36420
4,Highland Health Systems ,331 East 8th Street , (256) 236-3403 ,NA,Anniston,Alabama,36207
5,Northeast Alabama Regional Med Ctr Behavioral Health ,400 East 10th Street , (256) 235-5121 , (256) 235-5564 (256) 235-5482 ,Anniston,Alabama,36207
6,Cottonwood Specialized Care CRF ,1539 Sweetie Smith Road , (334) 691-8030 ,NA,Ashford,Alabama,36312
7,MHCNCA Inc Athens Limestone Counseling Center ,1307 East Elm Street , (256) 232-3661 , (256) 355-5904 (800) 365-6008 ,Athens,Alabama,35611
8,Cherokee Etowah Dekalb CMHC ,425 5th Avenue NW , (256) 492-7800 ,NA,Attalla,Alabama,35954
9,North Baldwin Infirmary Senior Behavioral Health ,1815 Hand Avenue , (251) 580-1770 ,NA,Bay Minette,Alabama,36507
10,Birmingham VAMC Bessemer Clinic ,975 9th Avenue SW Suite 400 , (205) 428-3495 , (205) 428-3495x7931 (205) 428-3495x7934 ,Bessemer,Alabama,35022
