,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,1,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,15 Sep 2021
1,2,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,14 Sep 2021
2,3,Agra,Achnera,Potato,Desi,FAQ,890,950,920.0,13 Sep 2021
3,4,Agra,Achnera,Potato,Desi,FAQ,870,930,900.0,12 Sep 2021
4,5,Agra,Achnera,Potato,Desi,FAQ,880,940,910.0,11 Sep 2021
5,6,Agra,Achnera,Potato,Desi,FAQ,880,960,920.0,10 Sep 2021
6,7,Agra,Achnera,Potato,Desi,FAQ,900,950,925.0,08 Sep 2021
7,8,Agra,Achnera,Potato,Desi,FAQ,900,980,940.0,07 Sep 2021
8,9,Agra,Achnera,Potato,Desi,FAQ,910,970,940.0,06 Sep 2021
9,10,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,05 Sep 2021
10,11,Agra,Achnera,Potato,Desi,FAQ,890,970,930.0,04 Sep 2021
11,12,Agra,Achnera,Potato,Desi,FAQ,870,930,900.0,03 Sep 2021
12,13,Agra,Achnera,Potato,Desi,FAQ,880,960,920.0,01 Sep 2021
13,14,Agra,Achnera,Potato,Desi,FAQ,910,970,940.0,31 Aug 2021
14,15,Agra,Achnera,Potato,Desi,FAQ,900,950,925.0,30 Aug 2021
15,16,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,29 Aug 2021
16,17,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,27 Aug 2021
17,18,Agra,Achnera,Potato,Desi,FAQ,880,960,920.0,25 Aug 2021
18,19,Agra,Achnera,Potato,Desi,FAQ,890,960,925.0,24 Aug 2021
19,20,Agra,Achnera,Potato,Desi,FAQ,910,970,940.0,23 Aug 2021
20,21,Agra,Achnera,Potato,Desi,FAQ,870,930,900.0,22 Aug 2021
21,22,Agra,Achnera,Potato,Desi,FAQ,880,960,920.0,21 Aug 2021
22,23,Agra,Achnera,Potato,Desi,FAQ,880,940,910.0,20 Aug 2021
23,24,Agra,Achnera,Potato,Desi,FAQ,900,950,925.0,19 Aug 2021
24,25,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,18 Aug 2021
25,26,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,17 Aug 2021
26,27,Agra,Achnera,Potato,Desi,FAQ,860,940,900.0,16 Aug 2021
27,28,Agra,Achnera,Potato,Desi,FAQ,870,950,910.0,15 Aug 2021
28,29,Agra,Achnera,Potato,Desi,FAQ,890,950,920.0,14 Aug 2021
29,30,Agra,Achnera,Potato,Desi,FAQ,880,960,920.0,13 Aug 2021
30,31,Agra,Achnera,Potato,Desi,FAQ,890,970,930.0,12 Aug 2021
31,32,Agra,Achnera,Potato,Desi,FAQ,880,960,920.0,11 Aug 2021
32,33,Agra,Achnera,Potato,Desi,FAQ,910,990,950.0,10 Aug 2021
33,34,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,09 Aug 2021
34,35,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,08 Aug 2021
35,36,Agra,Achnera,Potato,Desi,FAQ,910,970,940.0,07 Aug 2021
36,37,Agra,Achnera,Potato,Desi,FAQ,920,980,950.0,06 Aug 2021
37,38,Agra,Achnera,Potato,Desi,FAQ,910,970,940.0,05 Aug 2021
38,39,Agra,Achnera,Potato,Desi,FAQ,910,970,940.0,04 Aug 2021
39,40,Agra,Achnera,Potato,Desi,FAQ,900,950,925.0,03 Aug 2021
40,41,Agra,Achnera,Potato,Desi,FAQ,880,930,905.0,31 Jul 2021
41,42,Agra,Achnera,Potato,Desi,FAQ,890,950,920.0,30 Jul 2021
42,43,Agra,Achnera,Potato,Desi,FAQ,900,950,925.0,29 Jul 2021
43,44,Agra,Achnera,Potato,Desi,FAQ,880,960,920.0,28 Jul 2021
44,45,Agra,Achnera,Potato,Desi,FAQ,910,960,935.0,27 Jul 2021
45,46,Agra,Achnera,Potato,Desi,FAQ,900,950,925.0,26 Jul 2021
46,47,Agra,Achnera,Potato,Desi,FAQ,900,960,930.0,25 Jul 2021
47,48,Agra,Achnera,Potato,Desi,FAQ,910,990,950.0,24 Jul 2021
48,49,Agra,Achnera,Potato,Desi,FAQ,900,950,925.0,23 Jul 2021
49,50,Agra,Achnera,Potato,Desi,FAQ,900,980,940.0,22 Jul 2021
50,,,,,,,,,,
51,,,,,,,,,,
