	review
1	Review for Dominos del Amo bl, Lakewood CA. Very highly recommended. Horaccio is Very professional and excels in his customer service skills.. 5 stars to him and the other staff there.. My 2nd time getting pizza from there.. The food is fresh and on point really good.. I haven't had that experience at other dominos so I just had to write the reveiw and show my appreciation for getting great and friendly professional service and the good being on point definitely puts this dominos on the top of the list.. Thank you guys. It's the way you treat others is what they remember in any business.. Presentation is everything.. Thank you
2	I called because my food was cold and not done right and was missing a few items. When I called I was answered by a woman named ** and she was very polite and nice and is resending the items fresh. She was more respectful and polite than any person I have called at Domino’s located at 5100 NC-87 S, Fayetteville, NC 28306.
3	OMG, hands down the best pizza I've had from Domino's pizza in Southaven, MS loaded with toppings, hot when we got it, the best ever. Quick contactlessdelivery. We have ordered from here before but it has never been as good as it was tonight. Whoever they have cooking they need to keep, just wonderful tonight.
4	This Domino's has the best pizza delivery and customer service that I have seen in all of Greensboro! I have tried all of the pizza delivery services, and domino's was by far the best. They made our orders super quickly, and delivered them even quicker hot and ready. I will definitely be ordering from this domino's in the future!
5	"My Sweetheart & I are very pleased with the quality of the service & excellent Pizzas from the ""Domino's"" located on Central Ave & Thomas rd. here in Phoenix AZ! We ordered 2 large Pizzas from them on 10/21/2020 using my mobile phone, order #1001, and they got EVERYTHING RIGHT! (I rarely make reviews & only when a business is extraordinarily outstanding one way or the other) Not only did they get our order Exactly as requested; Double Pepperoni, Double Cheese, Double Bold & Spicy Sauce on Garlicky Buttery crust along with a Double ""Everything"" Hawaiian that were Both Far Better than anything we've gotten ANYwhere since the ""Pandemic Crises"" started. FOR HALF THE PRICE! Thank You from Dave & Holly."
6	Do not order from them!! We have been and always late. But this time no delivery. Ordered at 9pm and called at10 pm no answer my account was charged and credited but everyone is still hungry!! Never again.
7	We ordered our pizzas at 2 pm for 5 pm. At 5:15 we TRIED to call the store, waited on phone for 35 minutes! By chance we got another call in call waiting at 5:45. It was the store on 16 th Ave in Conway South Carolina. Whoopy, telling us that our pizza was waiting for an hour to be delivered in another 3-4 hours! First this notice was already 45 minutes late! And on top we should wait another 3-4 hours for a cold pizza? This absolutely sucks. Trust me, this was the very last time I ordered from your company. I asked politely to cancel my order, reimburse our money and ordered from a local pizzeria. Thanks for absolute horrid customer service. I’ll tell that story to whoever wants to hear it. Furthermore I’ll leave my reviews where ever I can post it, Yelp, Yellow Pages etc.!!!!
8	"I've been trying to redeem my free pizza online for over a week in app and I keep generic ""checkout error"" on website. It's ""We are sorry but an error has occurred. Please try again momentarily."" And to contact the store but they can't help me redeem pizza since it needs to be done online. So I decided to contact Domino's customer service number. They too couldn't help me even after giving them access to my account and they seeing free pizza. They also received same error message. I'm currently quarantined due to Covid. In financial distress as most of us are. And can't even redeem a free pizza I earned through points. Highly disappointed."
9	My daughter and her friends had to fly back home to Texas and before leaving to the airport we ordered three pizzas to be delivered. The restaurant is located at 7070 Seminole Pratt Whitney Rd Ste 1, Loxahatchee, FL 33470, just about 2.5 miles from our house, so we figured it'd be less than 45 minutes to receive the order. We place the order at 12:34 PM but almost an hour later, the pizzas had not been delivered. I called the restaurant to inquire about the delay and I was told they were busy and that the order had been sent. I asked the person who answered the call why they didn't inform the customer about the delay so they could make other arrangements, including picking it up the order, but he just said that it was on its way.
10	It's like they have a computerized hook. When you buy pizza for the first time in a while they will serve you a good pizza full of topping and sauce so you can buy again but when it sees that you're an old customer they start to serve few toppings and sauce. I have experienced this since loooong ago. Try it and you will see. Stop buying for some time and when you go back they will serve you a nice pizza full of topping and the cycle goes on and on.
11	Absolutely the worst experience I have ever had in my lifetime!!! Poor Customer Service! Uncaring inconsiderate Manager! Poor Order Takers. But They Love Ripping you off! I paid them via debit card $40.00+ for a delivery which they totally botched and when I tried to contact them by phone they hung up on me 6 times!!!! 2nd guy told me to ** Off! I am telling you the Ogden Area Pizza Lovers DO NOT ORDER OR BUY FROM THIS LOUSY STORE - Go somewhere else and save yourself a Bucket Load of Grief!!!!
12	The whole experience was very bad and badly handled. Was very upsetting. Management didn't help with problems. I was treated like I was a liar and in the end they are refusing to deliver to me ever again.
13	Today while at work I ordered a pizza... I was unable to locate the pizza coupon I sought and therefore called the actual store. When calling after a brief hold I was able to place my order accordingly. The customer representative even recognized my employer's business number and provided awesome customer service. About 10 mins later I was able to arrive at this location for pick-up and the order was ready to be received in a timely fashion. Upon arriving back at my employer and having the Pie in hand I sat down to enjoy this amazing looking pizza. I ate approximately 2 slices and was about to have my 3rd (as I was going to bring the rest home to my children) & it happened... Something fell off the slice while eating! At first I assumed it was a mushroom but the texture and lightness as it fell caused for a closer inspection.
14	Domino's review. It has really poor service, we didn't get any oregano and chili flakes, it has been almost a year since we always ask the delivery guy but every time the excuse is that it's out of stock, we're tired of this. So please look up to it.
15	Worst as your quality is going down day by day. I received even not proper baked pizza. No cheese, plain bread even the toppings are not best. I will not recommend anyone your brand as it's going down day by day.
16	Half of the pizza was more crust than anything and what would be called a slice of pizza was actually maybe 2 bite's because like I stated it was more crust than pizza. Delivery person was very nice. Just won't be ordering again.
17	"Soooo we ordered a pizza through the app. Last night and after the order we waited 2 hours for this pizza to show up instead of the 30 to 45 min. Wait time, so we decide to call them and asked where our order was at, the manager, rude as hell too, said in a ** attitude say ""your order is out for delivery, I don't know when it will show up."" Then hung up on me. So I called them back like wtf when will it get here? He proceeded to ask what time I ordered, so I checked the app, it won't tell me, so I check on my card to see what time and I find out they charge me $50 for 2 large pizzas, so I told them to void the order and refund me. 24hrs later no refund, talked to the GM, he's pretty much ignoring me, my account is now in the negatives and no food. We do not own a vehicle and we just moved into our own place, so we have no food, she is also pregnant like wtf give me our money back so we can eat."
18	I called my order in for a medium pizza and an order of garlic knots at 9:00 pm and I called at 10:00 pm and I was told my order did not exist. I then re-ordered my pizza and garlic knots at that time, and it is currently 11:10 pm and I still do not have my order yet. Both times I was told it would be a 30 mins for my order to arrive, and both times they told me they were busy. This is completely ridiculous for a medium pizza and an order of garlic knots to be delivered to a hotel across the street from the Dominos building. I will never order from them again. Very dissatisfied with the service from the Dominos in Minocqua, Wisconsin.
19	Placed the order for pick up because deliveries are taking over 2-3 hours and upon arrival, the manager ** said she has no order. Although, I showed her my phone with the pizza tracker stating that order was ready for pick up... She said that they did not made it and that they turned off the ovens...She was very rude...When asked about her name she said Yakira the manager and you can call 1800 Domino's to complain if you want. Closed the door on me and co worker showed the middle finger at me through the glass. Asked to do it again to record it and they both laughed. I never felt so humiliated and mistreated in my whole life by a manager and her employee.
20	I put in the directions to be contactless. The guy knocked on the door, I went to get it and he was still there. He had me sign the receipt and handed me the food. I paid online so it would be contactless.
21	The noodles were hard and very little sauce. I have always had good service until now. This was something. I would not feed my dog. I wish I could submit a picture. We are out of town and hoping to eat after 6 hours of driving. Sitting down to this makes me never want to order from there again.
22	The Pizza was essentially uneatable and they didn't want to do anything, they didn't want to do anything. Total disappointment.... They need to reevaluate their business solution as I am in business in all counties of Florida as I am a State licensed contractor and this is unacceptable. Thank you. :-)
23	I have been a fan of Domino's Pizza for years. As long as you're testing driverless delivery I will not use your product again. These are jobs the American people need who's going to buy your product if no one has a job. I will also do my best to discourage as many people as I can not to use your product as long as you replace human jobs with computers. I am not alone in this. Millions of Americans feel the way I do... I will pay the extra cost for my pizza to have it delivered by a human..
24	Ordered two medium pizzas. It took an hour and a half. The pizza was cold, the tip amount included percent based on delivery fee and tax as well. $50 and cold pizza. Ummm..no. Never again. Keep your pizza.
25	I called the 352-867-5900 and placed my order via phone. Was not given an order #. Among my orders, I requested a Build A Pasta Primavera and to add Italian Sausage (always paid the difference). When I called back to speak with a supervisor Rebecca answered first, then supervisor Julie was rude on the phone, sounded rushed and gave an excuse that we called the call center, and they are the only ones that have this problem, frustration & harsh tone over phone. This is not professional and it is NOT my problem that she has to explain this to every customer who calls. I advised her that she sounds upset and her response was I talk to much and she was cancelling my order. 
