,urls,pageviews,users,new_users,returning_users,clean_url
0,https://companies/news/it-sector-hiring-in-new-age-skills-to-pick-up-in-2021/amp-11605686860932.html,16906,16137,3509,12628,https://companies/news/it-sector-hiring-in-new-age-skills-to-pick-up-in-2021/amp
1,https://market/commodities/gold-prices-today-fall-for-4th-day-in-row-silver-rates-slump-11605754985040.html,5052,4563,2090,2473,https://market/commodities/gold-prices-today-fall-for-4th-day-in-row-silver-rates-slump
2,https://market/stock-market-news/wall-street-us-stocks-decline-as-covid-19-cases-surge-jobless-claims-rise-11605801157893.html,2333,2170,33,2137,https://market/stock-market-news/wall-street-us-stocks-decline-as-covid-19-cases-surge-jobless-claims-rise
3,https://news/india/now-only-50-people-allowed-at-weddings-in-delhi-to-check-covid-19-surge/amp-11605687140134.html,1409,1307,424,883,https://news/india/now-only-50-people-allowed-at-weddings-in-delhi-to-check-covid-19-surge/amp
4,https://news/india/fall-in-exports-surge-in-inflation-puts-india-behind-em-peers/amp-11605684204641.html,954,887,111,776,https://news/india/fall-in-exports-surge-in-inflation-puts-india-behind-em-peers/amp
5,https://Epaper/M/Delhi/19/11/2020/Page/01,726,467,0,467,epaper/M/Delhi/19/11/2020/Page/01
7,https://market/market-stats/,514,363,27,336,market/market-stats
9,https://companies/news/govt-yet-to-decide-on-international-arbitration-appeal-in-voda-retro-tax-case/amp-11605611679333.html,352,336,94,242,https://companies/news/govt-yet-to-decide-on-international-arbitration-appeal-in-voda-retro-tax-case/amp
10,https://companies/news/dhfl-lenders-looking-to-repay-55-000-fd-holders-under-resolution-plan-11605609424712.html,305,231,68,163,https://companies/news/dhfl-lenders-looking-to-repay-55-000-fd-holders-under-resolution-plan
11,https://money/personal-finance/lvb-moratorium-things-that-depositors-shareholders-and-borrowers-need-to-know-11605693227416.html,279,226,70,156,https://money/personal-finance/lvb-moratorium-things-that-depositors-shareholders-and-borrowers-need-to-know
13,https://politics/news/loan-moratorium-sc-asks-power-producers-to-file-suggestions-on-relief-measures-11605779165730.html,232,212,78,134,https://politics/news/loan-moratorium-sc-asks-power-producers-to-file-suggestions-on-relief-measures
15,https://news/india/news-reports-of-indian-army-action-in-pok-fake-dgmo/amp-11605799021688.html,196,182,60,122,https://news/india/news-reports-of-indian-army-action-in-pok-fake-dgmo/amp
16,https://market/commodities/gold-prices-fall-rs-1000-in-minutes-after-pfizer-says-covid-vaccine-effective/amp-11604924687541.html,179,150,59,91,https://market/commodities/gold-prices-fall-rs-1000-in-minutes-after-pfizer-says-covid-vaccine-effective/amp
17,https://market/stock-market-news/nifty-edges-closer-to-13000-as-record-setting-rally-continues-what-analysts-say-11605699193572.html,165,140,26,114,https://market/stock-market-news/nifty-edges-closer-to-13000-as-record-setting-rally-continues-what-analysts-say
18,https://news/india/-saddened-by-the-accident-in-vadodara-pm-modi-expresses-grief-11605678609544.html,156,154,14,140,https://news/india/-saddened-by-the-accident-in-vadodara-pm-modi-expresses-grief
19,https://Epaper/M/Delhi/19/11/2020/Page/05,143,110,0,110,epaper/M/Delhi/19/11/2020/Page/05
20,https://market/stock-market-news/analysts-positive-on-consumption-sector-recommend-these-two-stocks/amp-11605749431595.html,133,129,7,122,https://market/stock-market-news/analysts-positive-on-consumption-sector-recommend-these-two-stocks/amp
21,https://news/india/mbbs-courses-kerala-to-move-supreme-court-against-high-fee-structure/amp-11605762678745.html,124,120,27,93,https://news/india/mbbs-courses-kerala-to-move-supreme-court-against-high-fee-structure/amp
23,https://news/india/-public-health-spending-should-go-up-to-2-5-of-gdp-by-2024-11605756413154.html,108,99,24,75,https://news/india/-public-health-spending-should-go-up-to-2-5-of-gdp-by-2024
24,https://brand-stories/intelligent-pcs-that-learn-from-you-11603190211969.html,102,76,15,61,https://brand-stories/intelligent-pcs-that-learn-from-you
