,Product_Title,Price_of_product,No_of_reviews,Rating,Free_delivery
0,Men's Running Shoes  ,₹979,4.0 out of 5 stars ,"6,276",FREE Delivery by Amazon
1,Men Running Shoes  ,"₹1,250",4.0 out of 5 stars ,"6,276",FREE Delivery by Amazon
2,mens Maxico Running Shoes  ,"₹1,039",4.1 out of 5 stars ,"1,225",FREE Delivery by Amazon
3,Men's Running Shoes  ,"₹1,084",4.1 out of 5 stars ,"1,225",FREE Delivery by Amazon
4,Men Guide Stride Run Shoes  ,"₹1,256",3.8 out of 5 stars ,"1,550",FREE Delivery by Amazon
5,Men's Glenn M Sneakers  ,"₹1,250",3.8 out of 5 stars ,"1,550",FREE Delivery by Amazon
6,Men Running Shoes  ,"₹1,049",4.3 out of 5 stars ,953,FREE Delivery by Amazon
7,Men's Drogo M Running Shoes  ,"₹1,779",4.3 out of 5 stars ,953,FREE Delivery by Amazon
8,Men's Running Shoes  ,"₹1,159",4.1 out of 5 stars ,"2,310",FREE Delivery by Amazon
9,Men's Tread Lite Lux Lp Running Shoes  ,"₹1,015",4.1 out of 5 stars ,"2,310",FREE Delivery by Amazon
10,Men's Jaunt Idp Running Shoes  ,"₹1,999",4.1 out of 5 stars ,812,FREE Delivery by Amazon
11,Men Running Shoes  ,"₹2,241",4.1 out of 5 stars ,812,FREE Delivery by Amazon
12,Men Transform IV Running Shoes  ,"₹1,527",4.2 out of 5 stars ,"2,135",FREE Delivery by Amazon
13,Men Sports Shoes  ,"₹1,020",4.2 out of 5 stars ,"2,135",FREE Delivery by Amazon
14,Men's Running Shoes  ,"₹1,314",4.1 out of 5 stars ,"6,326",FREE Delivery by Amazon
15,Men's Top Speed Xtreme Lp Running Shoes  ,₹999,4.1 out of 5 stars ,"6,326",FREE Delivery by Amazon
16,Men's First Running Shoes  ,"₹1,690",4.1 out of 5 stars ,"7,363",FREE Delivery by Amazon
17,Men's Mike (N) Running Shoes  ,"₹1,444",4.1 out of 5 stars ,"7,363",FREE Delivery by Amazon
18,Men Running Shoes  ,"₹1,086",3.9 out of 5 stars ,892,FREE Delivery by Amazon
19,Men's Oslo PRO Running Shoes  ,"₹1,249",3.9 out of 5 stars ,892,FREE Delivery by Amazon
20,Men's Adiglide M Running Shoe  ,"₹1,968",4.0 out of 5 stars ,442,FREE Delivery by Amazon
21,Men's Furio Lite 1.0 M Running Shoes  ,"₹1,452",4.0 out of 5 stars ,442,FREE Delivery by Amazon
22,Men's Go Walk Max Walking Shoes  ,"₹2,099",4.1 out of 5 stars ,"3,279",FREE Delivery by Amazon
23,WINANTI® Mens Joyride Running Shoes | Sports Shoes | Tracking Shoes | Running Shoes (White Colour) Mens Joyride Running Shoes | Sports Shoes | Tracking Shoes | Running Shoes (White Colour) (9)  ,"₹2,499",4.1 out of 5 stars ,"3,279",FREE Delivery by Amazon
24,Men's M490ip6 Running Shoe  ,"₹1,890",3.4 out of 5 stars ,24,FREE Delivery by Amazon
25,mens Sx0487g Running Shoes  ,"₹1,190",3.4 out of 5 stars ,24,FREE Delivery by Amazon
26,Men's Adiset M Running Shoe  ,"₹1,979",3.9 out of 5 stars ,710,FREE Delivery by Amazon
27,Men's Shereton M Running Shoe  ,"₹1,709",3.9 out of 5 stars ,710,FREE Delivery by Amazon
28,Men's Outdoor Running/Sports/Gym Shoes  ,"₹1,049",4.0 out of 5 stars ,135,FREE Delivery by Amazon
29,"Warrior 88-46HSTG Jungle Boot for Men, Mens Canvas Boot (Available in 5 UK to 11 UK, Black & Olive Green)  ","₹1,899",4.0 out of 5 stars ,135,FREE Delivery by Amazon
30,Green Canvas Hunter Boots for Mens  ,"₹1,331",4.1 out of 5 stars ,140,FREE Delivery by Amazon
31,Men Moccasins  ,"₹1,499",4.1 out of 5 stars ,140,FREE Delivery by Amazon
32,Men's Aero Running Shoes  ,"₹1,049",4.0 out of 5 stars ,413,FREE Delivery by Amazon
33,"Warrior New 2021 Edition Jungle King Boot for Men, Canvas Boot (Available All the Sizes)  ","₹1,299",4.0 out of 5 stars ,413,FREE Delivery by Amazon
34,Men's N Walk Calm Running Shoe  ,"₹2,499",4.6 out of 5 stars ,12,FREE Delivery by Amazon
35,Men SM-632 Sports Shoes  ,"₹1,049",4.6 out of 5 stars ,12,FREE Delivery by Amazon
36,Men's Splasher Running Shoe  ,"₹1,349",3.9 out of 5 stars ,96,FREE Delivery by Amazon
37,Men's Sx0171g Running Shoes  ,"₹2,196",3.9 out of 5 stars ,96,FREE Delivery by Amazon
38,Men's Simba Pro Sneaker  ,"₹1,317",4.1 out of 5 stars ,331,FREE Delivery by Amazon
39,Men's Sx0443g Sports Shoes  ,"₹1,268",4.1 out of 5 stars ,331,FREE Delivery by Amazon
40,Men's Elate M Running Shoe  ,"₹1,045",4.2 out of 5 stars ,19,FREE Delivery by Amazon
41,Men's Running Shoes  ,"₹1,747",4.2 out of 5 stars ,19,FREE Delivery by Amazon
42,Unisex-Adult Robust Running Shoes  ,"₹1,549",4.1 out of 5 stars ,"3,397",FREE Delivery by Amazon
43,Men's Shoe  ,"₹1,999",4.1 out of 5 stars ,"3,397",FREE Delivery by Amazon
44,Men's Sm-678 Running Shoe  ,"₹1,367",4.3 out of 5 stars ,295,FREE Delivery by Amazon
45,Men's Statix M Running Shoe  ,"₹1,285",4.3 out of 5 stars ,295,FREE Delivery by Amazon
46,Men's Wisdom Running Shoes  ,"₹1,350",5.0 out of 5 stars ,1,FREE Delivery by Amazon
47,Men's Maxico Running Shoes  ,"₹1,199",5.0 out of 5 stars ,1,FREE Delivery by Amazon
48,,₹849,3.8 out of 5 stars ,151,FREE Delivery by Amazon
49,,,3.8 out of 5 stars ,151,FREE Delivery by Amazon
50,,,4.1 out of 5 stars ,"1,952",FREE Delivery by Amazon
51,,,4.1 out of 5 stars ,"1,952",FREE Delivery by Amazon
52,,,4.3 out of 5 stars ,86,FREE Delivery by Amazon
53,,,4.3 out of 5 stars ,86,FREE Delivery by Amazon
54,,,4.0 out of 5 stars ,165,FREE Delivery by Amazon
55,,,4.0 out of 5 stars ,165,FREE Delivery by Amazon
56,,,4.0 out of 5 stars ,12,FREE Delivery by Amazon
57,,,4.0 out of 5 stars ,12,FREE Delivery by Amazon
58,,,4.2 out of 5 stars ,"1,448",FREE Delivery by Amazon
59,,,4.2 out of 5 stars ,"1,448",FREE Delivery by Amazon
60,,,3.7 out of 5 stars ,195,FREE Delivery by Amazon
61,,,3.7 out of 5 stars ,195,FREE Delivery by Amazon
62,,,3.8 out of 5 stars ,114,FREE Delivery by Amazon
63,,,3.8 out of 5 stars ,114,FREE Delivery by Amazon
64,,,4.1 out of 5 stars ,"2,484",FREE Delivery by Amazon
65,,,4.1 out of 5 stars ,"2,484",FREE Delivery by Amazon
66,,,4.3 out of 5 stars ,440,FREE Delivery by Amazon
67,,,4.3 out of 5 stars ,440,FREE Delivery by Amazon
68,,,3.7 out of 5 stars ,32,FREE Delivery by Amazon
69,,,3.7 out of 5 stars ,32,FREE Delivery by Amazon
70,,,4.3 out of 5 stars ,108,FREE Delivery by Amazon
