,Question,Yes/No
0,hindi movies for adults,False
1,are panda dogs real,True
2,asuedraw winning numbers,False
3,sentry replacement keys,False
4,rebuilding nicad battery packs,False
5,can you overdose on melatonin,True
6,list of browsers,False
7,que son numeros naturales,False
8,mini motos honda,False
9,mulatto,False
10,gene autry museum,False
11,dominicks,False
12,wordz,False
13,all super bowl winners,False
14,townhouse with garage floor plan,False
15,teacher appreciation quotes,True
16,outdoor wooden steps,False
17,ceramic classes,False
18,boletos primera plus,False
19,how to build a shower pan,True
20,vintage shoe company,False
21,pent house magazine,False
22,ejemplos de quimica,False
23,www carnival cruise lines,False
24,where is mica found,True
25,sonhar com carrapatos,False
26,hopi tribe history,False
27,vehiculos siniestrados,False
28,what causes cheese to mold,True
29,how to write a quotation letter,True
30,creperas,False
31,left side rib pain,False
32,safe search off,False
33,vtu bangalore results,False
34,segunda mano herramientas,False
35,concurso magisterio 2013,False
36,catherine bell measurements,False
37,primera gerra mundial,False
38,eduardo costa ouvir todas as musicas,False
39,gram positive coccobacilli,False
40,cheap jewelry,False
41,digitador em casa,False
42,what is carpe diem,True
43,shenandoah river map,False
44,how to write a formal invitation,True
45,party planner checklist,False
46,criminal case game,False
47,toastmaster breadmaker recipes html,False
48,shared baixar musicas gratis,False
49,drchatgyi video,False
50,komercijalna banka,False
51,horseshoe pits official size,False
52,treatment for alopecia,False
53,debate silas malafaia,False
54,what do baby sparrows eat,True
55,god bless america free sheet music,False
56,symptoms testicular cancer,False
57,el cartel tv canal caracol,False
58,happy anniversary cards,False
59,cfe consulta tu recibo,True
60,carvel ice cream cake coupons,False
61,descargar virtual dj 6 gratis,False
62,reptrax mobile app,False
63,ticketmaster phoenix,False
64,pc to pc transfer,False
65,beyond the rack,False
66,busco empleo en barranquilla,False
67,how did anne frank get caught,True
68,jornal estado de minas online,False
69,indiana state park map,False
70,www g1 com br,False
71,justin bieber vip passes,False
72,what birth control does medicaid cover,True
73,little caesars puebla,False
74,ways to test your boyfriend,False
75,how to remove chatzum,True
76,saints row cars,False
77,videos de mujeres cojiendo,False
78,what is the purpose of respiration,True
79,tcp ip,False
80,aj wright department store,False
81,papa johns promo codes,False
82,patio umbrella reviews,False
83,lionel messi,False
84,w is for witness release date,False
85,musica vagalumes,False
86,el esqueleto,False
87,goodyear precios,False
88,what should i eat for dinner,True
89,fiat giama mar del plata,False
90,building tips homemade greenhouse,False
91,jogos de vestir herois,False
92,descargar sonido gratis,False
93,craftsman table saw,False
94,photos of hair styles,False
95,what is quebec famous for,True
96,carnaval de brasil en vivo,False
97,unexplained muscle soreness,False
